ghg_id,fabric_group,fabric_name,fabric_type,process_step,country,env_impact_group,indicator_unit,fabric_eKPI_intensity,ePL_eKPI_intensity
934,Animal Fibers,mohair,conventional,Animal rearing,Germany,GHGs,kg CO2e,179.7295427,13.20603865
935,Animal Fibers,wool,organic,Animal rearing,Germany,GHGs,kg CO2e,125.7894371,9.242666197
936,Leather,sheep/lamb,conventional,Abattoir,Greece,GHGs,kg CO2e,0.454717668,0.033411419
937,Synthetic Fibers,polyester,conventional,Processing,Greece,GHGs,kg CO2e,3.794428291,0.278804285
938,Leather,sheep/lamb,conventional,Animal rearing,Greece,GHGs,kg CO2e,11.58814098,0.851465126
939,Plant Fibers,cotton,organic,Crop farming,Greece,GHGs,kg CO2e,1.708423292,0.125530303
940,Leather,goat,conventional,Animal rearing,Greece,GHGs,kg CO2e,175.1026243,12.86606525
941,Plant Fibers,linen,organic,Spinning Weaving and Dyeing,Hungary,GHGs,kg CO2e,4.361182064,0.320447813
942,Synthetic Fibers,nylon,Econyl,Spinning Weaving and Dyeing,Hungary,GHGs,kg CO2e,4.642515398,0.341119422
943,Fur,None,None,Animal rearing,Iceland,GHGs,kg CO2e,115.4277093,8.481314576
944,Leather,deer,None,Abattoir,India,GHGs,kg CO2e,0.49388423,0.036289272
945,Leather,goat,conventional,Abattoir,India,GHGs,kg CO2e,1.102754667,0.081027418
946,Animal Fibers,cashmere,conventional,Spinning Weaving and Dyeing,India,GHGs,kg CO2e,9.955861953,0.731529696
947,Animal Fibers,mohair,restorative grazing,Spinning Weaving and Dyeing,India,GHGs,kg CO2e,9.955861953,0.731529696
948,Animal Fibers,silk,organic,Spinning Weaving and Dyeing,India,GHGs,kg CO2e,9.955861953,0.731529696
949,Plant Fibers,cotton,organic,Spinning Weaving and Dyeing,India,GHGs,kg CO2e,9.722162834,0.71435812
950,Plant Fibers,linen,organic,Spinning Weaving and Dyeing,India,GHGs,kg CO2e,9.722162834,0.71435812
951,Synthetic Fibers,polyester,conventional,Spinning Weaving and Dyeing,India,GHGs,kg CO2e,10.55707162,0.77570495
952,Synthetic Fibers,polyester,recycled,Spinning Weaving and Dyeing,India,GHGs,kg CO2e,10.55707162,0.77570495
953,Leather,beef/calf,conventional,Tanning - RH_WB,India,GHGs,kg CO2e,0.866120644,0.063640193
954,Leather,beef/calf,conventional,Tanning - WB_FL,India,GHGs,kg CO2e,1.054171113,0.07745763
955,Leather,goat,conventional,Tanning - RH_WB - Metal-free,India,GHGs,kg CO2e,1.338322039,0.098336269
956,Leather,sheep/goat,conventional,Tanning - WB_FL,India,GHGs,kg CO2e,1.054171113,0.07745763
